City,Price,Room Type,Person Capacity,Multiple Rooms,Business,Bedrooms,City Center (km)
Amsterdam,352.68202376209786,Entire home/apt,2.0,0,0,1,4.753301220591684
Amsterdam,318.2340121388232,Private room,4.0,1,0,1,0.6432797933909642
Amsterdam,368.6171583905514,Entire home/apt,2.0,0,0,1,1.843414802892541
Amsterdam,774.2600707707451,Private room,4.0,0,0,1,3.240919753612332
Amsterdam,1029.925245471375,Entire home/apt,4.0,0,0,1,1.7763168318632667
Amsterdam,326.6702598832986,Entire home/apt,4.0,0,0,3,3.9253330803389503
Amsterdam,299.72113514400206,Private room,2.0,0,0,1,3.812821067852762
Amsterdam,688.0228716049962,Entire home/apt,4.0,0,0,2,4.894306981480401
Amsterdam,399.31572657183705,Entire home/apt,3.0,0,0,1,2.7484060408978936
Amsterdam,362.5243127973192,Entire home/apt,2.0,0,0,2,2.465013388537726
Amsterdam,350.1042813957304,Private room,2.0,1,0,0,1.182523156670852
Amsterdam,1038.361493215851,Entire home/apt,2.0,0,0,1,1.761900973638962
Amsterdam,432.3576969043658,Private room,2.0,0,0,1,1.4333734110859075
Amsterdam,337.6842499941415,Private room,2.0,0,0,1,1.5514001269716866
Amsterdam,1118.2715065732432,Entire home/apt,4.0,0,0,3,1.96011552062919
Amsterdam,335.57518805802266,Private room,2.0,0,0,0,3.310462564729232
Amsterdam,468.2117498183864,Entire home/apt,2.0,0,0,1,2.4641833980904337
Amsterdam,241.83910200829567,Private room,2.0,0,0,1,6.32486346550931
Amsterdam,1739.03873643756,Entire home/apt,4.0,0,0,2,2.140598515315153
Amsterdam,368.6171583905514,Entire home/apt,2.0,0,0,1,6.291365973282467
Amsterdam,346.5891781688656,Private room,2.0,0,0,0,2.011355928615153
Amsterdam,417.8286035666581,Private room,4.0,0,0,2,2.937801886453491
Amsterdam,421.34370679352287,Entire home/apt,2.0,0,1,1,1.737851302767052
Amsterdam,712.8629344081738,Entire home/apt,2.0,0,0,1,1.0888412392791802
Amsterdam,308.39172310360186,Private room,3.0,1,0,1,1.9131368224630303
Amsterdam,333.23178590677946,Private room,2.0,0,0,0,2.1368991958336045
Amsterdam,356.1971269889626,Private room,2.0,0,0,1,1.8688444053531743
Amsterdam,351.51032268647623,Private room,2.0,1,0,0,1.5647645877321996
Amsterdam,264.33576266023016,Private room,2.0,1,0,1,3.5489264149300257
Amsterdam,344.2457760176224,Private room,2.0,0,0,1,2.579456768894296
Amsterdam,515.7828134886229,Entire home/apt,4.0,0,0,3,2.680403418532747
Amsterdam,491.64577133081815,Entire home/apt,6.0,0,0,3,4.051917607255711
Amsterdam,501.2537201509151,Entire home/apt,2.0,0,0,1,2.314548394921164
Amsterdam,552.808567478265,Entire home/apt,3.0,0,0,1,1.4756207370733208
Amsterdam,386.19267452487526,Private room,2.0,1,0,1,0.2862270363942465
Amsterdam,1136.5500433529398,Entire home/apt,4.0,0,0,2,0.3639339290695795
Amsterdam,268.0852061022192,Private room,2.0,0,0,0,8.396193965451163
Amsterdam,319.40571321444475,Private room,2.0,0,0,1,3.257268339680081
Amsterdam,1210.3672111171,Entire home/apt,4.0,1,0,3,7.969305988961323
Amsterdam,540.6228762918005,Entire home/apt,4.0,0,0,2,3.53040385878742
Amsterdam,1044.6886790242074,Entire home/apt,2.0,0,0,1,2.158727236080072
Amsterdam,539.6855154313032,Entire home/apt,6.0,0,1,3,5.309254055530047
Amsterdam,485.5529257375859,Entire home/apt,2.0,0,0,1,3.550537513117757
